"Município";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"Total"
"110146 PIMENTEIRAS DO OESTE";3909,10;6752,14;2684,04;1882,46;2222,25;2865,21;2033,81;1632,53;2137,02;1103,09;2287,50;3785,41;4349,30;3762,62;6981,52;3885,50;3211,15;2107,66;3918,95;4081,21;5336,67;-;70929,14
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110148 SAO FELIPE D'OESTE";4912,62;2427,46;1666,78;369,12;1231,40;2072,16;2087,63;1748,29;496,87;1730,14;1542,39;2634,25;8482,42;7565,12;3568,78;7730,98;2151,32;1663,42;1998,69;1298,19;1906,02;1839,03;61123,08
"110149 SAO FRANCISCO DO GUAPORE";60993,10;48748,38;53987,03;39651,68;62096,94;74310,28;82639,83;81508,06;50751,23;30497,41;41917,66;55562,46;64643,36;104189,83;82091,75;95506,65;78253,54;56992,94;77404,90;62872,63;88332,69;81228,83;1474181,18
"110150 SERINGUEIRAS";62953,36;42897,58;45697,48;56740,46;55679,07;56868,56;49310,93;23953,33;45201,34;35402,54;60227,25;66110,94;59030,03;56233,12;67099,80;56219,16;107262,84;101664,02;129550,78;-;-;-;1178102,59
"110155 TEIXEIROPOLIS";218,68;1659,02;1877,88;2815,21;650,97;595,28;582,42;394,65;3145,16;4274,57;2962,45;10627,98;3931,88;2912,10;2156,00;1238,46;2545,42;1831,34;2046,36;3388,32;-;-;49854,15
"110160 THEOBROMA";4809,87;4164,97;2393,04;2468,76;3421,45;4154,77;4914,49;3081,66;1946,26;4318,22;7125,52;5107,58;4244,31;10087,96;5375,17;3060,96;2586,34;4685,38;1839,02;3314,78;575,19;-;83675,70
"110170 URUPA";48564,63;33505,87;34253,24;51327,22;28530,74;32677,83;60204,85;44447,67;27574,38;28315,05;33343,06;30518,12;52051,93;82272,12;63917,33;47263,22;76685,22;81109,47;120030,91;109604,01;135293,38;-;1221490,25
"110175 VALE DO ANARI";4186,72;5563,27;1448,33;3612,65;1388,41;3113,05;836,93;2473,67;2232,10;1984,70;4132,31;7747,38;11242,15;15619,14;11041,19;14934,41;19964,31;14523,72;9587,27;14120,12;16845,79;-;166597,62
"110180 VALE DO PARAISO";6877,43;1679,92;3247,85;5033,74;10108,74;4596,93;5533,26;7925,31;1787,67;2721,54;5729,27;14090,21;12502,32;9167,40;21604,08;8751,02;11749,71;8439,37;6147,67;6655,41;2169,16;-;156518,01
" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120001 ACRELANDIA";13600,14;11294,26;7761,53;13076,62;10138,06;5818,94;15507,97;7370,53;9993,03;4404,04;10021,64;10938,92;15075,32;11505,09;12300,37;9133,19;11401,30;13498,83;7532,05;5871,25;6199,13;-;212442,21
"120005 ASSIS BRASIL";18593,02;26266,41;27559,49;20144,89;14645,50;10323,40;21988,48;19452,96;10514,96;12418,07;19477,93;24435,78;31856,40;14796,89;15345,42;14553,12;14644,33;16446,96;13430,63;21773,32;17793,92;-;386461,88
"120010 BRASILEIA";126434,74;124355,45;129608,05;102977,86;115967,61;93630,34;118334,50;166259,89;127150,72;126499,65;142274,98;182625,31;247473,24;135726,52;126997,70;164174,58;148000,59;161460,06;138770,67;120914,70;134178,62;-;2933815,78
"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120020 CRUZEIRO DO SUL";529517,02;464720,03;746070,81;547655,04;627981,52;534239,86;500819,21;511607,02;525667,59;495830,31;675075,82;942140,83;654484,54;915933,24;819118,77;604217,57;567102,64;710313,64;491887,79;732679,92;541363,77;-;13138426,94
"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120030 FEIJO";40775,29;26229,81;26655,99;23365,54;46982,41;21898,52;23316,13;22638,65;19527,27;43720,21;42498,62;35599,92;32355,81;37235,23;37974,89;28081,12;17533,18;30453,05;39655,53;26336,04;29741,92;-;652575,13
"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120033 MANCIO LIMA";30287,37;21975,12;21886,71;13143,28;13621,56;11679,33;11227,80;17508,13;12737,45;10368,56;14872,79;14539,61;18337,70;33129,49;19944,78;57053,46;51257,72;32881,99;30589,92;33876,38;10915,43;-;481834,58
"120034 MANOEL URBANO";15047,78;13367,95;16316,14;16462,61;7659,16;9259,77;20387,50;12940,07;14642,82;7709,60;14380,00;14324,13;16703,82;14843,38;14112,51;7624,14;-;-;-;28667,07;11220,32;-;255668,77
"120035 MARECHAL THAUMATURGO";6706,60;5931,34;12206,42;16605,26;11896,92;14445,51;10287,07;13547,58;14671,24;13593,47;13990,58;14149,59;11241,83;9587,65;11076,04;13504,85;13125,13;17120,25;-;8627,90;14128,35;-;246443,58
"120038 PLACIDO DE CASTRO";19848,76;31403,76;23326,42;11977,14;8023,67;13223,48;13163,94;21438,35;9518,96;32731,35;30989,95;32406,58;32733,65;22812,88;36060,34;12192,98;47861,84;7907,91;17244,43;11546,25;11539,26;-;447951,90
"120039 PORTO WALTER";13079,39;7788,44;8016,85;4576,80;11379,18;7036,27;3054,29;5535,03;7171,51;5833,95;2678,30;2792,19;10755,66;11168,63;12418,19;11125,05;6401,62;15424,01;8448,83;7879,39;-;-;162563,58
"120040 RIO BRANCO";3358096,35;3460265,18;5090701,41;3884515,69;3782142,47;4455207,42;4371230,89;3171168,49;3220558,89;3180304,44;4077297,04;4333384,99;4669749,37;4520285,05;4015119,92;4276558,04;3979204,60;4866604,72;4220546,29;3470725,67;3617308,34;-;84020975,26
"120042 RODRIGUES ALVES";6958,09;16673,31;5149,91;6291,65;-;13660,78;9982,81;7271,36;2958,90;7740,97;9606,63;7230,90;10783,67;6570,73;6703,38;8953,10;-;7542,64;10877,91;10796,70;-;-;155753,44
"120043 SANTA ROSA DO PURUS";6387,56;4792,39;1312,80;4442,34;5490,69;6290,22;3493,05;5552,44;1768,63;2970,29;4172,62;-;10380,15;9640,34;-;3813,19;4409,97;1397,09;5082,01;5659,28;7421,37;-;94476,43
"120045 SENADOR GUIOMARD";32742,32;50151,23;60011,39;45889,87;124775,51;71332,26;159246,73;123643,73;199087,36;107773,53;146196,11;138932,64;126611,00;121252,06;142829,22;133149,39;85545,37;109530,43;105900,30;58912,34;70222,19;-;2213734,98
"120050 SENA MADUREIRA";60288,77;62424,17;50595,26;49387,06;39313,42;60909,52;74200,54;41291,28;47601,82;49851,61;57408,46;56478,79;54491,13;61683,03;55137,31;52391,98;66090,64;69647,51;71030,52;49353,81;61660,23;-;1191236,86
"120060 TARAUACA";76545,24;141216,84;90374,15;63782,44;74968,96;73261,90;72848,73;72560,97;68406,99;42795,94;69794,97;92562,19;76463,50;94405,88;65192,33;76833,00;71780,84;81424,16;69021,05;72190,84;89969,46;-;1636400,38
"120070 XAPURI";19199,65;15352,30;18107,14;19012,41;18398,26;23721,71;20619,46;15696,10;12819,40;14384,15;18830,55;15788,61;27044,22;22938,03;20674,87;21252,85;14305,89;17160,55;14397,68;12902,26;12729,88;-;375335,97
"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
